"","Text_ID","Sentence_Number","text","Word_idx"
"1016",131,131,"tomorrow",11
"1017",132,132,"he",1
"1018",132,132,"drove",2
"1019",132,132,"his",3
"1020",132,132,"truck",4
"1021",132,132,"home",5
"1022",132,132,"and",6
"1023",132,132,"walked",7
"1024",132,132,"down",8
"1025",132,132,"to",9
"1026",132,132,"the",10
"1027",132,132,"village",11
"1028",133,133,"he",1
"1029",133,133,"held",2
"1030",133,133,"his",3
"1031",133,133,"mother",4
"1032",133,133,"tight",5
"1033",133,133,"and",6
"1034",133,133,"she",7
"1035",133,133,"cried",8
"1036",133,133,"into",9
"1037",133,133,"his",10
"1038",133,133,"chest",11
"1039",134,134,"he",1
"1040",134,134,"went",2
"1041",134,134,"to",3
"1042",134,134,"the",4
"1043",134,134,"door",5
"1044",134,134,"and",6
"1045",134,134,"walked",7
"1046",134,134,"out",8
"1047",134,134,"of",9
"1048",134,134,"the",10
"1049",134,134,"room",11
"1050",135,135,"his",1
"1051",135,135,"helmet",2
"1052",135,135,"was",3
"1053",135,135,"lost",4
"1054",135,135,"but",5
"1055",135,135,"he",6
"1056",135,135,"could",7
"1057",135,135,"still",8
"1058",135,135,"do",9
"1059",135,135,"some",10
"1060",135,135,"damage",11
"1061",136,136,"ken",1
"1062",136,136,"just",2
"1063",136,136,"hoped",3
"1064",136,136,"he",4
"1065",136,136,"wasn't",5
"1066",136,136,"taking",6
"1067",136,136,"his",7
"1068",136,136,"temper",8
"1069",136,136,"out",9
"1070",136,136,"on",10
"1071",136,136,"chris",11
"1072",137,137,"lawrence",1
"1073",137,137,"rubbed",2
"1074",137,137,"the",3
"1075",137,137,"back",4
"1076",137,137,"of",5
"1077",137,137,"his",6
"1078",137,137,"neck",7
"1079",137,137,"and",8
"1080",137,137,"hung",9
"1081",137,137,"his",10
"1082",137,137,"head",11
"1083",138,138,"lewis",1
"1084",138,138,"sat",2
"1085",138,138,"down",3
"1086",138,138,"and",4
"1087",138,138,"lucy",5
"1088",138,138,"laid",6
"1089",138,138,"her",7
"1090",138,138,"hand",8
"1091",138,138,"on",9
"1092",138,138,"his",10
"1093",138,138,"cheek",11
"1094",139,139,"matthew",1
"1095",139,139,"stood",2
"1096",139,139,"against",3
"1097",139,139,"the",4
"1098",139,139,"wall",5
"1099",139,139,"with",6
"1100",139,139,"his",7
