"","text_id","sent_id","trigger_idx","word","freq","surp","max_surp","mean_surp","max_ppmi","mean_ppmi","max_npmi","mean_npmi","max_e_pmi","mean_e_pmi","max_e_ppmi","mean_e_ppmi","max_e_npmi","mean_e_npmi","len"
"563",94,94,5,"getting",5.57,5.53086461961188,10.3577512710288,5.01275554611565,8.31314826011658,1.150600793461,0,-0.131799330314,6.91636236736734,0.966350169310262,6.94369904976211,1.13398897801652,0.329594167612431,0.167638808706255,7
"564",94,94,6,"the",7.73,4.55410323022754,10.3577512710288,5.11637736081489,8.22255945205688,0.904702389240265,0,-0.115351886550585,3.04193093361075,0.497251612913444,3.09760163578879,0.608946933375102,0.343337311805427,0.111695320461658,3
"565",94,94,7,"band",4.92,8.44334006172348,10.3577512710288,5.022665005717,8.69297552108765,1.62026728689671,0,-0.232212331559923,10.4051146240135,1.37733748456047,10.4410918134625,1.52646662450197,0.410969297701518,0.149129139941504,4
"566",94,94,8,"together",5.46,2.13543957517189,10.3577512710288,5.51133287086078,6.49309635162354,1.37455383368901,0,-0.23316888440223,4.27835739675757,0.954892919793998,4.70856039054901,1.12705001533416,0.430202993791438,0.172157095540165,8
"567",94,94,9,"again",5.7,7.14668788674613,10.3577512710288,5.08934620889967,2.14722907543182,0.548118583858013,0,-0.00219964608550072,0.756909374318377,0.184751638174929,1.18821954566781,0.349499627228389,0.431310171349437,0.16474798905346,5
"568",95,95,2,"is",7.07,5.66822852940657,0,0,6.95387148857117,3.97511516014735,0,0,6.83552078212332,3.58178181489447,6.95915654931217,3.71940571645386,0.243682332771629,0.137623901559382,2
"569",95,95,3,"a",7.36,3.52871761451586,5.66822852940657,2.83411426470329,1.33271420001984,0.459140360355377,0,-0.303691953420639,1.56072139825035,0.684621124724814,1.70451581097211,0.821515968361894,0.297711766069948,0.13689484363708,1
"570",95,95,4,"narrow",4.39,12.0539364280194,5.66822852940657,3.06564871464081,4.90216064453125,1.769340385062,0,-0.0692638158798218,10.0508091294348,2.11705761745554,10.104667845565,2.27788715805201,0.483219100614308,0.16082954059647,6
"571",95,95,5,"ship",4.93,12.4429357862096,12.0539364280194,5.31272064298547,10.877535905689,2.29115990712307,0,-0.781492102891207,10.6931216733709,3.23919607153795,10.7348127055377,3.43037323110197,0.341149738139005,0.191177159564024,4
"572",95,95,6,"much",6,11.6618596594906,12.4429357862096,6.73876367163029,5.95529365539551,0.941612402473887,0,-0.203078631560008,7.21175831352241,1.05077844574174,7.37715346548314,1.20231125835751,0.361572146218802,0.151532812615773,4
"573",95,95,7,"like",6.41,1.70250644068279,12.4429357862096,7.559279669607,11.309383392334,1.74345044553694,0,-0.170389215151469,8.90443806058235,1.37501593873263,8.94621183386894,1.50564082277413,0.280756245849784,0.130624884041495,4
"574",95,95,8,"our",6.14,5.78390767357435,12.4429357862096,6.72259777976069,9.574359993916,1.47077538351351,0,-0.165132119542076,9.55082431247725,1.18283522528465,9.55290790224838,1.28565883057511,0.281942794882105,0.102823605290461,3
"575",95,95,9,"own",5.74,7.28224964522402,12.4429357862096,6.60526151648739,7.6848042011261,1.15133287507342,0,-0.168944053293671,7.88326936640365,1.0400126596006,7.94306397481234,1.11745732371872,0.179849814143794,0.0774446641181243,3
"576",96,96,2,"placed",4.85,15.5397235998076,16.9885891374504,16.9885891374504,0,0,-0.239170074462891,-1.98187065124512,8.33092320790369,4.864932899808,8.45399107447091,4.99909939843032,0.16638693363876,0.134166498622322,6
"577",96,96,3,"the",7.73,2.87352048692644,16.9885891374504,16.264156368629,8.32741451263428,2.86276908715566,0,0,8.01442143685017,3.12022223829898,8.07216402687843,3.3100137366451,0.390381307225298,0.189791498346112,3
"578",96,96,4,"bars",4.45,12.7568988164063,16.9885891374504,11.8006110747282,13.5897085666656,2.22829198175006,0,-0.364286435974969,11.3732009321753,3.77732508535513,11.3844080092884,3.89292266262008,0.275010896082737,0.115597577264944,4
"579",96,96,5,"of",7.4,3.09168581546909,16.9885891374504,12.0396830101477,2.38869667053223,0.411529332399368,0,-0.503671586513519,7.6655718571762,1.23051757483422,7.69269289722917,1.37424321951031,0.324660536593308,0.143725644676086,2
"580",96,96,6,"chocolate",4.49,13.6952772860533,16.9885891374504,10.250083571212,17.8132200147957,3.74387265541591,0,-0.59382700920105,17.6020871063935,3.3825704590513,17.6087045093623,3.55248892004024,0.294605775397026,0.169918460988944,9
"581",96,96,7,"on",6.91,3.00219918364155,16.9885891374504,10.8242825236855,8.11701965332031,1.09000893345931,0,-0.0993462138705783,8.7605209652453,0.786169477288916,8.77850552781055,0.889118790552942,0.265029327423317,0.102949313264026,2
"582",96,96,8,"the",7.73,1.38520872966229,16.9885891374504,9.70684204653639,4.26361083984375,0.43261080509096,0,-0.156526234854634,3.50730646245729,0.360023834043707,3.64732211003922,0.447694520789573,0.24531848949325,0.0876706867458658,3
"583",96,96,9,"counter",4.56,8.50266466646732,16.9885891374504,8.66663788192712,10.3437911383808,1.91188028268516,0,-0.174792371253716,10.275704347556,1.58367023730047,10.2848907933521,1.69405345037805,0.243114088696879,0.110383213077578,7
"584",97,97,2,"gave",5.25,12.1737086216486,0,0,1.46384048461914,0.56861400604248,0,-0.727299372355143,7.03543276686215,4.01436564698886,7.14811919358391,4.16768478127461,0.217694133518674,0.153319134285755,4
"585",97,97,3,"bernard",4.02,28.197526284663,12.1737086216486,6.0868543108243,4.14533450081944,1.55074998053412,0,-0.836815357208252,4.06394816922852,1.80638445257946,4.07684922774938,1.97815773983601,0.3295447020493,0.171773287256552,7
"586",97,97,4,"a",7.36,2.85640596741113,28.197526284663,13.4570783021039,4.55335235595703,0.977696842617459,0,-0.140234295692709,7.49065341467085,1.10160052132382,7.52138577878844,1.24190744989585,0.366428376369889,0.140306928572028,1
"587",97,97,5,"hard",5.53,6.77330117879362,28.197526284663,10.8069102184307,13.4563817977905,2.85652012843639,0,-0.470181544621785,11.3545542760148,2.15253250469664,11.4385279283774,2.27762594977769,0.322407663713136,0.125093445081042,4
"588",97,97,6,"slap",3.97,7.8479644881895,28.197526284663,10.0001884105033,13.779590845108,1.53712052951256,0,-0.207146898905436,10.4903201072974,1.11316703280775,10.5320368835861,1.21751564635413,0.246522770460574,0.104348613546382,4
"589",97,97,7,"on",6.91,0.808237118764443,28.197526284663,9.64148442345097,8.91715145111084,1.07090564123872,0,-0.0322799761262205,3.99035608883038,0.508315081257742,4.36945802311131,0.624224822663873,0.434514926012563,0.115909741406131,2
"590",97,97,8,"the",7.73,0.0787905653857553,28.197526284663,8.3795919513529,15.544709444046,1.64134543557607,0,-0.0808878697987114,11.7832459204121,1.24120142108815,11.9097404050467,1.35306034875616,0.277517909832111,0.111858927668009,3
"591",97,97,9,"head",5.51,4.45966745509275,28.197526284663,7.341991778107,6.90598699450493,1.1343061607331,0,-0.155418249312788,6.68825695067359,1.05840644986667,6.69292244472102,1.17598494571515,0.320103729601148,0.117578495848481,4
"592",98,98,2,"get",6.28,11.6912968509601,5.77026421349371,5.77026421349371,4.65888118743896,2.66893227895101,0,-2.20956103006999,6.54805452057467,3.13267223325204,6.72719554746462,3.25596430420529,0.179141026889958,0.123292070953249,3
"593",98,98,3,"out",6.38,5.2097296660906,11.6912968509601,8.73078053222692,5.58633708953857,1.33637468020121,0,-0.365840276082357,8.86071208735735,3.29901300058206,9.17901920882477,3.47733795880442,0.318307121467415,0.178324958222356,3
"594",98,98,4,"and",7.41,5.2512256942673,11.6912968509601,7.55709691018148,1.13685846328735,0.275622500313653,0,-0.860453473197089,3.63836910593515,0.938149464400341,3.74948522435422,1.17820457380676,0.418829053436365,0.240055109406421,3
"595",98,98,5,"i'll",5.43,15.5543163814342,11.6912968509601,6.98062910620293,8.39951968193054,1.5698416531086,0,-0.56264716386795,9.10574752359558,1.99666942567726,9.12309413689975,2.16113173631162,0.365449352291329,0.164462310634359,4
"596",98,98,6,"buy",5.32,7.62298664709965,15.5543163814342,8.6953665612492,8.07473087310791,0.903285686175028,0,-0.220480720202128,3.74275449904925,0.643238627523148,3.89812740310422,0.801357840667434,0.300312714957875,0.158119213144286,3
"597",98,98,7,"you",6.98,2.10417448714041,15.5543163814342,8.51663657555761,7.9928075671196,1.34356999066141,0,-0.104030079311795,5.28678369705756,1.12117379351925,5.36920798937221,1.28560971983094,0.399585313187419,0.16443592631169,3
"598",98,98,8,"a",7.36,1.37425849888827,15.5543163814342,7.60057056292658,7.16914051771164,1.06143199545997,0,-0.177773364952632,5.02132908117008,0.85192020015179,5.14754770314274,1.00471915389476,0.376470266598905,0.152798953742967,1
"599",98,98,9,"drink",4.9,5.60595791889198,15.5543163814342,6.82228155492179,10.6963078081608,2.38437278196216,0,-0.0694407820701599,9.91018917108547,1.91842995446038,9.93867461166441,2.04023416340181,0.233848630078167,0.121804208941425,5
"600",99,99,2,"have",6.71,11.0011854473659,5.77026421349371,5.77026421349371,2.32548713684082,0.77516237894694,0,-2.41410764058431,7.49809043816613,4.81056597850172,7.55905244253509,4.94567117649882,0.176243959117328,0.135105197997099,4
"601",99,99,3,"the",7.73,5.67730327865763,11.0011854473659,8.38572483042981,5.33745431900024,1.92097361882528,0,-0.470285495122274,2.36858681150979,0.819960299873507,2.48708242637223,1.05788620700146,0.449335948412299,0.237925907127949,3
"602",99,99,4,"gates",4.3,14.7812712311642,11.0011854473659,7.48291764650575,10.4926612377167,2.74175173044205,0,-1.07352595859104,6.88160225214396,2.77956312474674,6.92385773791069,2.99263008363371,0.345695711360877,0.213066958886969,5
"603",99,99,5,"closed",4.9,2.87666998094756,14.7812712311642,9.30750604267037,11.1921081542969,3.84811130166054,0,-0.00490707159042358,7.41624771043906,3.08079269902378,7.4803425077761,3.2146161063793,0.310735681898075,0.133823407355513,6
"604",99,99,6,"and",7.41,3.21813585887356,14.7812712311642,8.0213388303258,2.5642397403717,0.359895888964335,0,-0.33745890657107,2.27742722587351,0.291733944775708,2.4115882597575,0.429955625251508,0.28749377621424,0.1382216804758,3
"605",99,99,7,"go",6.03,10.1716540973828,14.7812712311642,7.22080500175043,10.1701444387436,1.41679271558921,0,-0.171140674087736,9.3078618339069,1.18866347197614,9.39110519804279,1.36624125901709,0.320516304876787,0.17757778704095,2
"606",99,99,8,"home",5.81,4.30085501888,14.7812712311642,7.64235487255505,7.28164041042328,1.0424881808105,0,-0.404186526047332,8.25839587943956,1.19324077430808,8.28708391089177,1.37724336550809,0.383880217983226,0.184002591200018,4
"607",99,99,9,"early",5.43,10.9082800615652,14.7812712311642,7.22466739084567,0.0637521743774414,0.00964181125164032,0,-0.321433768607676,0.511639705246541,0.181234671477934,0.829363623890027,0.307618750733685,0.317723918643486,0.126384079255751,5
"608",100,100,2,"closed",4.9,15.1380189016133,15.2565810746555,15.2565810746555,1.42298698425293,0.529064496358236,0,-0.0353879928588867,7.30946273379407,4.13292012432553,7.42919609405651,4.26743854198013,0.156509796037715,0.134518417654601,6
"609",100,100,3,"the",7.73,2.60426309706996,15.2565810746555,15.1972999881344,4.19064140319824,1.91215085983276,0,-0.0469048023223877,5.40263081354374,1.97238365968295,5.47099228411475,2.12911417279157,0.344762704201758,0.15673051310862,3
"610",100,100,4,"office",5.4,9.11684988332598,15.2565810746555,10.9996210244462,10.5243821144104,2.78517858187358,0,-0.180778571301036,8.97572487129257,2.54493117861868,8.99250379140925,2.736006888622,0.449737063482736,0.191075710003314,6
"611",100,100,5,"door",5.08,9.43654930410339,15.2565810746555,10.5289282391662,7.05720710754395,2.64302807549636,0,-0.0888549486796061,6.98331728525464,2.39211516432614,7.06990062747799,2.55378993809559,0.331928970296772,0.161674773769446,4
"612",100,100,6,"on",6.91,4.06205377795242,15.2565810746555,10.3104524521536,8.31681007146835,0.780347321555018,0,-0.0235250453154246,8.21674429080219,0.635484668232802,8.22711080677248,0.743193999422911,0.371239499315185,0.107709331190109,2
"613",100,100,7,"the",7.73,3.60237732638126,15.2565810746555,9.26905267312008,9.12123346328735,0.945329723879695,0,-0.14867557812896,7.49718553171165,0.832026294565134,7.5959082337533,0.953148748954351,0.359689479587896,0.121122454389217,3
"614",100,100,8,"way",6.01,6.86433313751805,15.2565810746555,8.45952762358596,9.54484605789185,0.933062338048503,0,-0.0276710369757244,8.93551977443602,1.60083259266162,8.98329415242076,1.7234009546829,0.361742332003382,0.122568362021282,3
"615",100,100,9,"out",6.38,3.73111034733632,15.2565810746555,8.26012831282748,4.06956158392131,0.72513459646143,0,-0.182182371616364,4.00407470732637,0.676997231917107,4.03943250876347,0.75913228336509,0.186010669852467,0.0821350514479835,3
"616",101,101,2,"felt",5.13,13.7674981200165,11.7776169148948,11.7776169148948,1.06925678253174,0.356418927510579,0,-1.21232064565023,8.10723165247447,4.61705247684156,8.19924107882373,4.73270332367328,0.139044386831188,0.115650846831718,4
